"PlayerID","Name","Salary"
1,"Andre Dawson",3300
2,"Steve Buchele",2600
3,"Kal Daniels",2500
4,"Shawon Dunston",2475
5,"Mark Grace",2313
6,"Ryne Sandberg",2175
7,"Luis Salazar",600
8,"Dwight Smith",460
9,"Doug Dascenzo",240
10,"Sammy Sosa",200
11,"Jose Vizcaino",177
12,"Rick Wilkins",140
13,"Derrick May",117
14,"Rey Sanchez",115
15,"Ivan Calderon",2600
16,"Tim Wallach",1907
17,"Spike Owen",1190
18,"Larry Walker",990
19,"Gary Carter",925
20,"Tom Foley",365
21,"Delino DeShields",302
22,"Marquis Grissom",300
23,"Bret Barberie",129
24,"John VanderWal",111
25,"Bobby Bonilla",6100
26,"Eddie Murray",4125
27,"Vince Coleman",3213
28,"Howard Johnson",2319
29,"Kevin Bass",2000
30,"Dick Schofield",1600
31,"Dave Magadan",1394
32,"Daryl Boston",935
33,"Willie Randolph",850
34,"Mackey Sasser",775
35,"Kevin Elster",760
36,"Dave Gallagher",629
37,"Chico Walker",275
38,"Chris Donnels",120
39,"Darren Daulton",2567
40,"Dale Murphy",2500
41,"John Kruk",2350
42,"Lenny Dykstra",2317
43,"Mariano Duncan",2000
44,"Stan Javier",715
45,"Ricky Jordan",660
46,"Wally Backman",650
47,"Jim Lindeman",260
48,"Steve Lake",250
49,"Wes Chamberlain",200
50,"Dave Hollins",180
51,"Mickey Morandini",180
52,"Barry Bonds",5150
53,"Andy Van Slyke",4450
54,"Jose Lind",2000
55,"Mike LaValliere",1850
56,"Don Slaught",1192
57,"Jay Bell",875
58,"Gary Redus",825
59,"Lloyd McClendon",525
60,"Gary Varsho",367
61,"Jeff King",325
62,"Cecil Espy",320
63,"Orlando Merced",150
64,"John Wehner",113
65,"Carlos Garcia",113
66,"Pedro Guerrero",2425
67,"Andres Galarraga",2367
68,"Jose Guillen",2050
69,"Ozzie Smith",2000
70,"Milt Thompson",1617
71,"Gerald Perry",1167
72,"Tom Pagnozzi",992
73,"Rex Hudler",400
74,"Felix Jose",315
75,"Todd Zeile",315
76,"Ray Lankford",230
77,"Bernard Gilkey",135
78,"Geronimo Pena",130
79,"Terry Pendleton",3150
80,"Otis Nixon",2785
81,"Ron Gant",2700
82,"Sid Bream",2400
83,"Lonnie Smith",1750
84,"Jeff Treadway",1262
85,"Jeff Blauser",940
86,"David Justice",555
87,"Rafael Belliard",500
88,"Damon Berryhill",370
89,"Greg Olson",350
90,"Francisco Cabrera",148
91,"Brian Hunter",146
92,"Barry Larkin",4350
93,"Bill Doran",2833
94,"Paul O'Neill",2833
95,"Chris Sabo",2750
96,"Bip Roberts",1550
97,"Dave Martinez",1300
98,"Geronimo Berroa",1000
99,"Jeff Reed",750
100,"Hal Morris",430
101,"Joe Oliver",260
102,"Freddie Benavides",120
103,"Ken Caminiti",1500
104,"Craig Biggio",1458
105,"Steve Finley",1210
106,"Casey Candaele",935
107,"Pete Incaviglia",800
108,"Gerald Young",395
109,"Jeff Bagwell",350
110,"Luis Gonzalez",285
111,"Andujar Cedeno",139
112,"Eric Anthony",133
113,"Darryl Strawberry",4050
114,"Eric Davis",3600
115,"Brett Butler",3333
116,"Mike Scioscia",2183
117,"Todd Benzinger",1150
118,"Lenny Harris",840
119,"Mike Sharperson",587
120,"Mitch Webster",400
121,"Dave Anderson",350
122,"Dave Hansen",135
123,"Carlos Hernandez",135
124,"Jose Offerman",135
125,"Fred McGriff",4075
126,"Benito Santiago",3300
127,"Tony Gwynn",2387
128,"Tony Fernandez",2100
129,"Kurt Stillwell",1750
130,"Darrin Jackson",805
131,"Gary Sheffield",725
132,"Tim Teufel",687
133,"Jerald Clark",200
134,"Phil Stephenson",130
135,"Dann Bilardello",125
136,"Oscar Azocar",120
137,"Craig Shipley",117
138,"Dan Walters",114
139,"Will Clark",4275
140,"Willie McGee",3563
141,"Matt Williams",2000
142,"Robby Thompson",1600
143,"Jose Uribe",1533
144,"Corey Snyder",940
145,"Chris James",850
146,"Mike Felder",650
147,"Kirt Manwaring",360
148,"Mike Benjamin",150
149,"Darren Lewis",145
150,"Mark Leonard",140
151,"Royce Clayton",109
152,"Ted Wood",109
153,"Glenn Davis",3415
154,"Cal Ripken",2100
155,"Joe Orsulak",1300
156,"Randy Milligan",1200
157,"Mike Devereaux",1025
158,"Billy Ripken",730
159,"Sam Horn",687
160,"Tim Hulett",380
161,"Brady Anderson",365
162,"Chris Hoiles",175
163,"Leo Gomez",150
164,"David Segui",150
165,"Chito Martinez",140
166,"Mike Greenwell",3050
167,"Jack Clark",2900
168,"Tom Brunansky",2850
169,"Wade Boggs",2700
170,"Tony Pena",2400
171,"Ellis Burks",2300
172,"Billy Hatcher",1650
173,"Jody Reed",1600
174,"Luis Rivera",1075
175,"Herm Winningham",550
176,"John Marzano",350
177,"Carlos Quintana",340
178,"Mo Vaughn",155
179,"Scott Cooper",145
180,"Felix Fermin",950
181,"Joel Skinner",700
182,"Brook Jacoby",550
183,"Sandy Alomar",525
184,"Carlos Baerga",525
185,"Mark Whiten",333
186,"Glenallen Hill",325
187,"Junior Ortiz",300
188,"Carlos Martinez",200
189,"Albert Belle",175
190,"Thomas Howard",158
191,"Mark Lewis",145
192,"Cecil Fielder",4500
193,"Mickey Tettleton",3358
194,"Alan Trammell",2400
195,"Lou Whitaker",2200
196,"Rob Deer",2017
197,"Tony Phillips",1567
198,"Dan Gladden",1050
199,"Dave Bergman",375
200,"Mark Carreon",355
201,"Travis Fryman",300
202,"Milt Cuyler",230
203,"Skeeter Barnes",150
